"lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","InJu2","InChM","InCf2","v_288","InIrr","InCu","InRsn2","InGut","v_164","v_165","v_166","dupl1_v_215","crt1","v_217","crt2","v_218","crt3","v_266","v_267","v_268","v_269","v_270","v_271","v_272","v_273","v_274","v_275","v_276","v_277","v_278","v_279","v_280","v_281","v_282","v_283","v_284","v_285","v_286","v_219","v_220","v_221","v_222","v_223","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","v_242","v_243","v_244","v_245","v_246","v_247","v_248","v_249","v_250","v_251","v_252","v_253","v_254","v_255","v_256","v_257","v_258","v_259","v_260","v_261","v_262","v_263","v_264","v_265","v_287","v_289","ethics","ethStR","Prv_in","Prv_in_S","v_215","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","condition","NFC_lie","NFC","nfc_order","nfc_pred","nfc_dec","nfc_amb","nfc_clos","crt_tot","Ju1_bin","Ju2_bin","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5"
81,0,"no tester","Completed (31)","3474191                     ",NA,1654,NA,NA,"Yes","Female",36,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","To go against your morals is wrong if you can do that so easily dang it appears you don't have any morals                                                                                                                                                     ",1,"It is wrong to desecrate a dead body also cannibalism is wrong                                                                                                                                                                                                ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","When that person was alive they agreed to donate their body for research. It is wrong to go and just start hacking at someone's body that is someone's loved one and it is totally wrong and disgusting to eat another human being                            ",1,"1: Not at all",7,"Yes","6","1: Not at all","7: Extremely","7: Extremely","7: Morally acceptable","No","No",".10                                                                                                                                                                                                                                                           ",0,"100                                                                                                                                                                                                                                                           ",0,"96                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",6,2,4,1,5,2,2,3,4,2,2,3,3,3,5,4,3,1,4,3,3,1,6,3,2,4,5,2,2,4,3,3,4,4,6,5,1,2,1,2,2,6,1,1,5,1,5,"11                                                                                                                                                                                                                                                            ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3474141,3474142,3474143,3474144,3474145,3474146,3474147,3474148,3474149,3474182,3474150,3474151,3474152,3474153,3474154,3474155,3474156,3474157,3474158,3474159,3474160,3474161,3474162,3474163,3474164,3474165,3474165,3474165,3474166,3474167,3474168,347416","Not flipped","Not flipped","HTML",NA,NA,"ca101fa0920fb90bd2e24b7c70b6ae42                                                                                                ","English","Not cleaned",1551462261,"2019-03-01 17:44:21           ","short",5,141,34,32,24,34,17,0,"wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE
9,0,"no tester","Completed (31)","3474191                     ",NA,763,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",2,"The person consented to have their body used for research, not to be eaten.                                                                                                                                                                                   ",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It could harm the family of the deceased if they were to find out.                                                                                                                                                                                            ",2,"1: Not at all",6,"Yes","1: Not at all","1: Not at all","5","6","3","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",3,2,3,3,2,3,3,1,3,3,5,2,1,4,5,2,2,1,3,3,4,5,2,4,4,2,3,5,3,3,5,5,5,4,4,6,3,5,1,5,5,5,1,2,3,1,3,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","Europe","United Kingdom","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3474141,3474142,3474143,3474144,3474145,3474146,3474147,3474149,3474181,3474185,3474183,3474150,3474151,3474152,3474153,3474154,3474155,3474156,3474157,3474158,3474159,3474160,3474161,3474162,3474163,3474164,3474165,3474166,3474167,3474168,3474169,347417","Flipped","Flipped","HTML",NA,NA,"aa52b98f632e695b773e88cf0990623f                                                                                                ","English","Not cleaned",1551459738,"2019-03-01 17:02:18           ","short",9,143,37,20,18,40,28,3,"wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE
20,0,"no tester","Completed (31)","3474191                     ",NA,432,NA,NA,"Yes","Male",36,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"It is wrong to steal.                                                                                                                                                                                                                                         ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It is wrong to steal.                                                                                                                                                                                                                                         ",1,"1: Not at all",7,"Yes","3","1: Not at all","7: Extremely","1: Not at all","1: Morally wrong","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,2,3,3,3,4,3,4,3,3,3,5,5,4,1,6,4,1,3,6,2,1,6,6,2,1,4,4,2,3,3,3,3,5,5,4,5,3,1,2,2,3,3,3,3,1,4,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3474141,3474142,3474143,3474144,3474145,3474146,3474147,3474149,3474184,3474150,3474151,3474152,3474153,3474154,3474155,3474156,3474157,3474158,3474159,3474160,3474161,3474162,3474163,3474164,3474165,3474166,3474167,3474168,3474169,3474170,3474171,347417","Not flipped","Not flipped","HTML",NA,NA,"3b9c5f0fc04b974c04ee32b58255f4ca                                                                                                ","English","Not cleaned",1551459779,"2019-03-01 17:02:59           ","short",7,148,47,24,32,24,21,3,"wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE
29,0,"no tester","Completed (31)","3474191                     ",NA,1407,NA,NA,"Yes","Female",31,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",3,"If the family of the deceased person found out they would likely be very distressed and disturbed, so Anne might reason that there is a potential for harm. Also the deceased person likely did not anticipate when they donated their body to science that it",4,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Unsure","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",4,"4: neutral",2,"Yes","1: Not at all","1: Not at all","5","3","4: neutral","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",3,4,5,5,6,5,6,6,5,4,4,2,3,3,4,5,2,6,6,3,2,1,3,3,4,5,5,6,4,5,6,6,4,4,4,5,3,6,1,3,3,5,1,3,5,2,5,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","Oceania","Australia","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3474141,3474142,3474143,3474144,3474145,3474146,3474147,3474149,3474150,3474151,3474152,3474153,3474154,3474155,3474156,3474157,3474158,3474159,3474160,3474161,3474162,3474163,3474164,3474165,3474166,3474167,3474169,3474170,3474171,3474172,3474173,347417","Not flipped","Flipped","HTML",NA,NA,"0022ce90b1bbdef6ea2bd954e233bf5c                                                                                                ","English","Not cleaned",1551459825,"2019-03-01 17:03:45           ","short",11,180,40,44,21,43,32,3,"wrong","neutral","wrong","wrong","wrong","wrong","not wrong","not wrong",FALSE,FALSE,FALSE,TRUE,FALSE
39,0,"no tester","Completed (31)","3474191                     ",NA,651,NA,NA,"Yes","Male",63,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",7,"She was the one that ate it, it was going to be thrown away, no one else knew about it and no one was hurt.                                                                                                                                                   ",7,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",7,"1: Not at all",7,"Yes","1: Not at all","1: Not at all","7: Extremely","1: Not at all","7: Morally acceptable","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",1,3,3,3,3,5,2,2,2,1,2,6,6,5,2,6,5,5,2,5,3,2,6,3,3,3,3,3,2,3,1,3,3,4,4,2,3,3,1,4,2,6,1,3,3,4,4,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3474141,3474142,3474143,3474144,3474145,3474146,3474147,3474149,3474150,3474151,3474152,3474153,3474154,3474155,3474156,3474157,3474158,3474159,3474160,3474161,3474162,3474163,3474164,3474165,3474166,3474167,3474169,3474170,3474171,3474172,3474173,347417","Flipped","Flipped","HTML",NA,NA,"eb39f24592a221998be14be0ba274846                                                                                                ","English","Not cleaned",1551459929,"2019-03-01 17:05:29           ","short",13,138,34,21,38,26,19,3,"right","right","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE
76,0,"no tester","Completed (31)","3474191                     ",NA,460,NA,NA,"Yes","Female",30,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",2,"Anne should make this judgement because it is the judgement that the previous living owner of that body would probably judge.                                                                                                                                 ",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","This body part belonged to a living person that probably would not wish for their body to be eaten after their death. It is not respectful of the dead.                                                                                                       ",1,"2",7,"Yes","5","1: Not at all","6","3","4: neutral","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,5,5,5,5,5,5,4,5,4,5,5,5,4,4,5,4,5,5,5,4,1,5,5,4,4,5,2,2,5,5,5,5,5,5,5,5,4,2,5,2,5,2,3,5,4,5,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3474141,3474142,3474143,3474144,3474145,3474146,3474147,3474149,3474150,3474151,3474152,3474153,3474154,3474155,3474156,3474157,3474158,3474159,3474160,3474161,3474162,3474163,3474164,3474165,3474166,3474167,3474168,3474169,3474170,3474171,3474172,347417","Flipped","Flipped","HTML",NA,NA,"eb193ae8bff42249f8d697d2ddd607a8                                                                                                ","English","Not cleaned",1551461758,"2019-03-01 17:35:58           ","short",14,190,47,38,33,42,30,3,"wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE
85,0,"no tester","Completed (31)","3474191                     ",NA,1121,NA,NA,"Yes","Female",29,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"Anne should make that decision because eating human flesh is not only morally wrong, but also extremely bad for you, as you can get diseases from eating human flesh. That, and it's wrong for anyone to just take something regardless if it's going to be de",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Eating human flesh is considered cannibalism. It doesn't matter if the person is  dead  and it's still morally wrong, even if Jennifer didn't do harm to anyone for eating the flesh. The body was donated for scientific purposes, not for someone to eat. Th",1,"1: Not at all",7,"Yes","1: Not at all","1: Not at all","7: Extremely","4: neutral","4: neutral","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",6,3,4,1,1,4,1,4,1,3,1,6,6,5,4,6,5,1,4,3,4,1,6,5,1,1,4,6,1,6,2,3,6,5,4,2,4,5,1,5,1,6,1,1,1,1,6,"9                                                                                                                                                                                                                                                             ","Soccer","Yes","Colleges courses on human behavior and psychology, wherein they talk about the ethics and morality of people.                                                                                                                                                 ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3474141,3474142,3474143,3474144,3474145,3474146,3474147,3474149,3474182,3474181,3474184,3474185,3474183,3474183,3474183,3474150,3474151,3474152,3474153,3474154,3474155,3474156,3474157,3474158,3474159,3474160,3474161,3474162,3474163,3474164,3474165,347416","Not flipped","Not flipped","HTML",NA,NA,"051d58a026ac488b91956f0b3a03f20f                                                                                                ","English","Not cleaned",1551462756,"2019-03-01 17:52:36           ","short",5,153,44,22,39,35,13,3,"wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE
