"lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","v_291","v_296","InJu2","InChM","InCf2","v_288","InIrr","InCu","InRsn2","InGut","v_164","v_165","v_166","dupl1_v_215","crt1","v_217","crt2","v_218","crt3","v_266","v_267","v_268","v_269","v_270","v_271","v_272","v_273","v_274","v_275","v_276","v_277","v_278","v_279","v_280","v_281","v_282","v_283","v_284","v_285","v_286","v_219","v_220","v_221","v_222","v_223","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","v_242","v_243","v_244","v_245","v_246","v_247","v_248","v_249","v_250","v_251","v_252","v_253","v_254","v_255","v_256","v_257","v_258","v_259","v_260","v_261","v_262","v_263","v_264","v_265","v_287","v_289","ethics","ethStR","Prv_in","Prv_in_S","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","condition","NFC_lie","NFC","nfc_order","nfc_pred","nfc_dec","nfc_amb","nfc_clos","crt_tot","InCS_ju","InCS_rsn"
45,0,"no tester","Completed (31)","3483894                     ",NA,1791,NA,NA,"Yes","Male",31,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","violating is very bad even if no one will be hurt ,whether people are enjoying it or not                                                                                                                                                                      ",5,"she has morals                                                                                                                                                                                                                                                ",5,"No","Yes","Unsure","No","No","Unsure","Yes","Yes","No, I have no reason","_duplicated_5","Scale option 5",5,"5",5,"Yes","1: Not at all","1: Not at all","6","5","5","No","No","1.00                                                                                                                                                                                                                                                          ",0,"100                                                                                                                                                                                                                                                           ",0,"96                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",6,2,5,4,4,3,3,5,5,5,5,3,4,3,4,2,5,5,3,5,2,4,3,3,4,2,3,3,3,4,3,4,5,2,3,4,2,4,4,4,4,4,3,4,4,3,3,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483887,3483884,3483886,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483867,3483868,3483869,3483872,348387","Not flipped","Flipped","HTML",NA,NA,"26145fb8e43e25a06b2285dbe3cf44aa                                                                                                ","English","Not cleaned",1551987493,"2019-03-07 19:38:13           ","2019-03-07 20:08:04           ","short",19,153,35,28,24,36,30,0,5,5
35,0,"no tester","Completed (31)","3483894                     ",NA,359,NA,NA,"Yes","Female",64,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",6,"because only response on my thoughts                                                                                                                                                                                                                          ",6,"Yes","No","No, I have no reason","Yes","Yes","Unsure","Yes","No","No, I have no reason","_duplicated_6","Scale option 4",5,"6",5,"Yes","6","5","7: Extremely","5","6","No","No","0.10                                                                                                                                                                                                                                                          ",0,"100                                                                                                                                                                                                                                                           ",0,"96                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,3,6,5,4,6,3,5,5,3,6,3,2,3,6,3,5,3,1,2,5,3,2,4,2,3,6,3,2,5,3,5,4,5,4,4,5,4,6,2,2,3,6,4,6,5,2,"7                                                                                                                                                                                                                                                             ","Soccer","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483852,3483888,3483887,3483884,3483885,3483886,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483861,3483861,3483862,3483863,3483863,3483863,3483864,3483865,3483866,348386","Not flipped","Not flipped","HTML",NA,NA,"1de6d94ebdf9c4694c0a38b50880b49a                                                                                                ","English","Not cleaned",1551986837,"2019-03-07 19:27:17           ","2019-03-07 19:33:16           ","short",23,161,42,33,20,41,25,0,6,4
129,0,"no tester","Completed (31)","3483894                     ",NA,1700,NA,NA,"Yes","Female",47,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","No Angry is the best enjoyment                                                                                                                                                                                                                                ",5,"she genarally understand                                                                                                                                                                                                                                      ",5,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","No","Yes, I have a reason","_duplicated_5","Scale option 5",5,"6",5,"Yes","5","4: neutral","5","5","4: neutral","Yes","Yes","0.10                                                                                                                                                                                                                                                          ",0,"100                                                                                                                                                                                                                                                           ",0,"96                                                                                                                                                                                                                                                            ",0,"quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",6,3,5,5,1,5,2,6,4,4,5,2,1,6,5,1,5,6,2,1,5,5,1,5,1,5,5,3,2,5,6,5,5,5,3,2,6,5,6,2,1,5,6,5,5,1,1,"9                                                                                                                                                                                                                                                             ","Soccer","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483851,3483851,3483852,3483853,3483852,3483885,3483887,3483884,3483888,3483886,3483886,3483886,3483886,3483886,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,348386","Not flipped","Flipped","HTML",NA,NA,"3236478fa846e7413710acfe3e41d895                                                                                                ","English","Not cleaned",1552644007,"2019-03-15 10:00:07           ","2019-03-15 10:28:27           ","short",24,157,40,31,18,45,23,0,5,5
135,0,"no tester","Completed (31)","3483894                     ",NA,888,NA,NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",6,"Anne is a student of philosophy she is understand the subject so she is make a good decision                                                                                                                                                                  ",6,"No","No","Yes, I have a reason","No","No","Yes, I have a reason","No","No","Yes, I have a reason","Scale option 7","",6,"6",6,"Yes","6","6","6","6","6","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"48                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,3,5,5,3,5,2,6,5,4,5,2,3,5,5,3,5,6,2,3,4,5,2,4,2,4,5,2,2,5,5,4,5,3,4,2,6,5,4,2,2,4,5,5,4,5,2,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483852,3483886,3483884,3483888,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,3483873,3483874,348387","Not flipped","Not flipped","HTML",NA,NA,"51f43f9199c6257d5a2ba23832466766                                                                                                ","English","Not cleaned",1552644377,"2019-03-15 10:06:17           ","2019-03-15 10:21:05           ","short",25,159,39,31,22,42,25,2,7,6
136,0,"no tester","Completed (31)","3483894                     ",NA,848,NA,NA,"Yes","Female",23,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",6,"anne is philosophy then she understand the subject clearly so she should make a decision correctly.                                                                                                                                                           ",6,"Yes","No","Yes, I have a reason","No","No","Yes, I have a reason","No","No","Yes, I have a reason","Scale option 7","",6,"5",6,"Yes","5","6","6","6","6","No","No","0.10                                                                                                                                                                                                                                                          ",0,"5                                                                                                                                                                                                                                                             ",1,"48                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,3,5,5,1,5,2,5,5,5,5,1,2,4,5,2,5,6,2,2,4,6,2,5,2,6,6,3,3,5,5,6,5,3,4,1,5,5,4,2,2,4,5,6,5,5,2,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483852,3483884,3483888,3483886,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,3483873,3483874,348387","Flipped","Not flipped","HTML",NA,NA,"c1603c3a63a93b93828a751d25a46316                                                                                                ","English","Not cleaned",1552644496,"2019-03-15 10:08:16           ","2019-03-15 10:22:24           ","short",26,160,39,32,18,44,27,1,7,6
54,0,"no tester","Completed (31)","3483894                     ",NA,1601,NA,NA,"Yes","Female",30,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",5,"I don't know about reasons. But anne should make that judgement in own.                                                                                                                                                                                       ",4,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","_duplicated_5","Scale option 4",5,"4: neutral",5,"Yes","5","5","4: neutral","6","5","No","No","0.05                                                                                                                                                                                                                                                          ",1,"5                                                                                                                                                                                                                                                             ",1,"48                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,4,5,4,1,3,2,4,4,3,5,1,3,5,3,2,4,3,1,3,4,3,1,4,3,3,5,5,4,6,3,5,5,3,4,4,6,4,5,4,3,5,3,6,4,5,4,"9                                                                                                                                                                                                                                                             ","Soccer","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","Asia","India","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483852,3483885,3483886,3483884,3483887,3483888,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,348387","Not flipped","Flipped","HTML",NA,NA,"17cba56505d34af6fcc41351190123b3                                                                                                ","English","Not cleaned",1552002154,"2019-03-07 23:42:34           ","2019-03-08 00:09:15           ","short",19,157,42,26,20,38,31,2,5,4
56,0,"no tester","Completed (31)","3483894                     ",NA,972,NA,NA,"Yes","Female",32,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"You just should never eat another person,  dead or alive.                                                                                                                                                                                                     ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Scale option 7","Scale option 1",1,"1: Not at all",7,"Yes","5","1: Not at all","7: Extremely","7: Extremely","4: neutral","No","No","10                                                                                                                                                                                                                                                            ",0,"100                                                                                                                                                                                                                                                           ",0,"48                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,1,6,6,6,5,6,5,6,5,6,1,1,3,5,1,1,1,6,1,4,1,1,5,4,6,6,6,2,6,6,6,2,5,5,1,6,6,1,1,1,6,3,1,6,2,6,"9                                                                                                                                                                                                                                                             ","Soccer","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483852,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,3483873,3483874,3483875,3483876,3483877,348387","Flipped","Flipped","HTML",NA,NA,"3303ff5b8f8536df2ac4e2c811c0e9b6                                                                                                ","English","Not cleaned",1552002156,"2019-03-07 23:42:36           ","2019-03-07 23:58:48           ","short",8,173,49,47,9,47,21,0,7,1
155,0,"no tester","Completed (31)","3483894                     ",NA,443,NA,NA,"Yes","Female",28,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Yes, that was                                                                                                                                                                                                                                                 ",5,"Yes, that was my opinion                                                                                                                                                                                                                                      ",4,"Yes","Yes","Unsure","No","No","Unsure","No","Yes","Unsure","Scale option 7","",6,"6",6,"Yes","6","6","6","6","5","No","No","10                                                                                                                                                                                                                                                            ",0,"100                                                                                                                                                                                                                                                           ",0,"48                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",1,6,2,2,3,3,3,3,4,3,3,4,4,2,1,6,1,1,6,5,1,3,4,4,3,3,3,4,6,2,2,3,4,3,3,3,3,2,2,4,5,2,2,2,3,3,3,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483887,3483886,3483886,3483886,3483885,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,348387","Flipped","Not flipped","HTML",NA,NA,"b29be247285fcbe4cc105a7c5851ecfc                                                                                                ","English","Not cleaned",1552655951,"2019-03-15 13:19:11           ","2019-03-15 13:26:34           ","short",11,134,32,26,25,21,30,0,7,6
