"lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","v_291","v_296","InJu2","InChM","InCf2","v_288","InIrr","InCu","InRsn2","InGut","v_164","v_165","v_166","dupl1_v_215","crt1","v_217","crt2","v_218","crt3","v_266","v_267","v_268","v_269","v_270","v_271","v_272","v_273","v_274","v_275","v_276","v_277","v_278","v_279","v_280","v_281","v_282","v_283","v_284","v_285","v_286","v_219","v_220","v_221","v_222","v_223","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","v_242","v_243","v_244","v_245","v_246","v_247","v_248","v_249","v_250","v_251","v_252","v_253","v_254","v_255","v_256","v_257","v_258","v_259","v_260","v_261","v_262","v_263","v_264","v_265","v_287","v_289","ethics","ethStR","Prv_in","Prv_in_S","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","condition","NFC_lie","NFC","nfc_order","nfc_pred","nfc_dec","nfc_amb","nfc_clos","crt_tot","InCS_ju","InCS_rsn"
56,0,"no tester","Completed (31)","3483894                     ",NA,972,NA,NA,"Yes","Female",32,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"You just should never eat another person,  dead or alive.                                                                                                                                                                                                     ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Scale option 7","Scale option 1",1,"1: Not at all",7,"Yes","5","1: Not at all","7: Extremely","7: Extremely","4: neutral","No","No","10                                                                                                                                                                                                                                                            ",0,"100                                                                                                                                                                                                                                                           ",0,"48                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,1,6,6,6,5,6,5,6,5,6,1,1,3,5,1,1,1,6,1,4,1,1,5,4,6,6,6,2,6,6,6,2,5,5,1,6,6,1,1,1,6,3,1,6,2,6,"9                                                                                                                                                                                                                                                             ","Soccer","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483852,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,3483873,3483874,3483875,3483876,3483877,348387","Flipped","Flipped","HTML",NA,NA,"3303ff5b8f8536df2ac4e2c811c0e9b6                                                                                                ","English","Not cleaned",1552002156,"2019-03-07 23:42:36           ","2019-03-07 23:58:48           ","short",8,173,49,47,9,47,21,0,7,1
155,0,"no tester","Completed (31)","3483894                     ",NA,443,NA,NA,"Yes","Female",28,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Yes, that was                                                                                                                                                                                                                                                 ",5,"Yes, that was my opinion                                                                                                                                                                                                                                      ",4,"Yes","Yes","Unsure","No","No","Unsure","No","Yes","Unsure","Scale option 7","",6,"6",6,"Yes","6","6","6","6","5","No","No","10                                                                                                                                                                                                                                                            ",0,"100                                                                                                                                                                                                                                                           ",0,"48                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",1,6,2,2,3,3,3,3,4,3,3,4,4,2,1,6,1,1,6,5,1,3,4,4,3,3,3,4,6,2,2,3,4,3,3,3,3,2,2,4,5,2,2,2,3,3,3,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483887,3483886,3483886,3483886,3483885,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,348387","Flipped","Not flipped","HTML",NA,NA,"b29be247285fcbe4cc105a7c5851ecfc                                                                                                ","English","Not cleaned",1552655951,"2019-03-15 13:19:11           ","2019-03-15 13:26:34           ","short",11,134,32,26,25,21,30,0,7,6
7,0,"no tester","Completed (31)","3483894                     ",NA,538,NA,NA,"Yes","Female",31,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I sided with this one because I am one that thinks it good to follow norms, so violating for any reason is bad.                                                                                                                                               ",1,"She ate someone.                                                                                                                                                                                                                                              ",7,"Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Scale option 7","Scale option 1",1,"1: Not at all",7,"Yes","4: neutral","1: Not at all","4: neutral","7: Extremely","1: Morally wrong","Yes","Yes","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",6,6,6,5,6,6,6,5,5,5,6,6,6,5,4,6,6,5,6,4,3,2,5,4,2,5,5,1,6,5,5,5,5,4,4,4,6,5,1,5,5,6,1,3,6,4,6,"9                                                                                                                                                                                                                                                             ","Hockey","Yes","PHILOSOPHY 101                                                                                                                                                                                                                                                ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483886,3483886,3483886,3483884,3483887,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,348387","Not flipped","Not flipped","HTML",NA,NA,"db32cc91d78f3bdaf0c27e25e47ac68d                                                                                                ","English","Not cleaned",1551984909,"2019-03-07 18:55:09           ","2019-03-07 19:04:07           ","short",13,210,47,44,39,44,36,3,7,1
20,0,"no tester","Completed (31)","3483894                     ",NA,509,NA,NA,"Yes","Female",43,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Just because someone isn't hurt doesn't mean that what you are doing is right.                                                                                                                                                                                ",1,"It's just gross. Cannibalism is wrong.                                                                                                                                                                                                                        ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Scale option 7","Scale option 1",1,"1: Not at all",7,"Yes","1: Not at all","1: Not at all","7: Extremely","3","4: neutral","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",6,1,6,6,6,5,6,4,5,6,5,6,6,5,1,5,6,1,6,3,4,1,6,4,4,6,6,6,4,6,5,6,6,3,4,6,3,6,1,6,6,6,2,5,6,2,2,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483885,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,3483873,3483874,3483875,348387","Not flipped","Flipped","HTML",NA,NA,"9e9f939d0a409bef6034bfe31818bc39                                                                                                ","English","Not cleaned",1551985294,"2019-03-07 19:01:34           ","2019-03-07 19:10:03           ","short",7,210,41,46,40,45,38,3,7,1
43,0,"no tester","Completed (31)","3483894                     ",NA,841,NA,NA,"Yes","Male",32,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Rules and moral norms are established for a reason. They should be followed by everyone, no matter whether they result in harm or not, to maintain a balance in society.                                                                                      ",1,"Eating a dead human body? That's disgusting, and wrong on all kinds of levels.                                                                                                                                                                                ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","Scale option 7","Scale option 1",1,"1: Not at all",7,"Yes","5","4: neutral","4: neutral","7: Extremely","1: Morally wrong","Yes","Yes","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",6,2,4,3,4,5,4,4,6,3,5,3,3,5,4,4,4,1,4,6,4,1,3,6,2,4,6,5,3,4,3,4,4,4,4,3,4,4,1,2,2,6,1,2,4,1,3,"9                                                                                                                                                                                                                                                             ","Soccer","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483886,3483884,3483887,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,3483873,348387","Flipped","Flipped","HTML",NA,NA,"9fe1e46170922a9b183d6f06d726ec3c                                                                                                ","English","Not cleaned",1551987403,"2019-03-07 19:36:43           ","2019-03-07 19:50:44           ","short",5,165,48,34,24,39,20,3,7,1
49,0,"no tester","Completed (31)","3483894                     ",NA,589,NA,NA,"Yes","Male",60,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","If it is a moral norm, that means you should follow it.                                                                                                                                                                                                       ",1,"She is a vegetarian for moral reasons.  Eating a human would violate that.                                                                                                                                                                                    ",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Scale option 7","Scale option 1",1,"1: Not at all",7,"Yes","1: Not at all","1: Not at all","7: Extremely","1: Not at all","4: neutral","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",6,3,1,1,6,5,4,4,1,1,1,6,6,4,1,4,5,1,2,6,5,1,6,6,5,1,5,6,4,1,1,1,1,4,4,4,5,1,1,6,4,6,1,4,1,1,5,"9                                                                                                                                                                                                                                                             ","Soccer","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483884,3483888,3483887,3483885,3483886,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,348387","Flipped","Not flipped","HTML",NA,NA,"4600c2c806dd0cc12c7fa74a6a40290a                                                                                                ","English","Not cleaned",1551988374,"2019-03-07 19:52:54           ","2019-03-07 20:02:43           ","short",5,153,48,24,37,18,26,3,7,1
55,0,"no tester","Completed (31)","3483894                     ",NA,410,NA,NA,"Yes","Female",30,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",6,"Nobody is harmed with the behavior. It may be considered gross but ultimately all parties are consenting.                                                                                                                                                     ",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","_duplicated_2","Scale option 1",7,"2",7,"Yes","1: Not at all","1: Not at all","7: Extremely","2","3","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,3,6,5,6,6,5,2,5,3,5,5,5,4,5,6,5,5,6,6,4,1,5,6,3,4,6,6,3,6,5,6,6,5,5,6,6,2,1,5,3,6,2,3,6,1,6,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483852,3483884,3483885,3483888,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,3483872,3483873,3483874,348387","Not flipped","Not flipped","HTML",NA,NA,"d477cb741e950f0c50411136aa166e5a                                                                                                ","English","Not cleaned",1552002156,"2019-03-07 23:42:36           ","2019-03-07 23:49:26           ","short",10,206,56,41,35,45,29,3,2,1
58,0,"no tester","Completed (31)","3483894                     ",NA,524,NA,NA,"Yes","Male",27,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Morality isn't decided by outcome but rather on intent. Someone violating a moral norm for fun is intending to do something wrong on purpose and is clearly wrong. If we view morality based on outcome we open ourselves up to considering obviously bad beha",1,"It is against the law and more importantly against the will of the person who died. The person left their body for research not to be eaten and violating their trust is a morally reprehensible act.                                                         ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Scale option 7","Scale option 1",1,"2",7,"Yes","1: Not at all","1: Not at all","6","2","4: neutral","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,1,5,4,5,5,4,4,5,3,4,5,3,4,2,2,5,4,5,6,3,3,4,4,3,5,4,5,4,4,5,4,5,4,3,2,4,5,2,3,2,5,2,2,5,3,3,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3483844,3483845,3483846,3483847,3483848,3483849,3483850,3483851,3483852,3483886,3483886,3483886,3483888,3483887,3483853,3483854,3483855,3483856,3483857,3483858,3483859,3483860,3483861,3483862,3483863,3483864,3483865,3483866,3483867,3483868,3483869,348387","Not flipped","Flipped","HTML",NA,NA,"086befcb35bca0f41c12932cfc7c5455                                                                                                ","English","Not cleaned",1552002171,"2019-03-07 23:42:51           ","2019-03-07 23:51:35           ","short",14,165,43,36,26,39,21,3,7,1
