"lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","InJu2","InChM","InCf2","Hrm_rel","Hrm_oth","v_288","InIrr","InCu","InRsn2","InGut","v_164","v_165","v_166","dupl1_v_215","crt1","v_217","crt2","v_218","crt3","v_266","v_267","v_268","v_269","v_270","v_271","v_272","v_273","v_274","v_275","v_276","v_277","v_278","v_279","v_280","v_281","v_282","v_283","v_284","v_285","v_286","v_219","v_220","v_221","v_222","v_223","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","v_242","v_243","v_244","v_245","v_246","v_247","v_248","v_249","v_250","v_251","v_252","v_253","v_254","v_255","v_256","v_257","v_258","v_259","v_260","v_261","v_262","v_263","v_264","v_265","v_287","v_289","ethics","ethStR","Prv_in","Prv_in_S","v_215","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","condition","NFC_lie","NFC","nfc_order","nfc_pred","nfc_dec","nfc_amb","nfc_clos","crt_tot"
201,0,"no tester","Completed (31)","3581724                     ",NA,950,NA,NA,"Yes","Female",45,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"its totally wrong  never should have happppppend                                                                                                                                                                                                              ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","they shouldn't do that kind of stuff                                                                                                                                                                                                                          ",1,"1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","7: Extremely Irritated","1: Not at all","7: Extremely","7: Extremely","1: Morally wrong","No","No","10                                                                                                                                                                                                                                                            ",0,"500                                                                                                                                                                                                                                                           ",0,"78                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,6,6,1,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,6,6,1,6,6,6,5,6,6,1,6,1,6,6,6,6,5,6,6,1,6,3,5,1,6,6,6,6,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581677,3581718,3581714,3581713,3581715,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581696,3581697,358169","Not flipped","Not flipped","HTML",NA,NA,"26a1ff8a82dab3813de8927d15f4474b                                                                                                ","English","Not cleaned","short",10,225,59,47,42,43,34,0
155,0,"no tester","Completed (31)","3581724                     ",NA,938,NA,NA,"Yes","Female",68,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"They violated a moral norm which nearly everyone believes is unthinkable. Although nobody was hurt thus far, and they seem to have grown closer due to the incest, I think eventually it will affect them and their brother-sister relationship in a negative ",4,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Unsure","It's wrong and I can provide a valid reason.","The family unit is a sacred bond, and an important part of being family is respecting the social norm that prohibits incest, or sexual relations amongst family members. This prohibition exists to protect the psychological well-being of all involved.     ",1,"1: Not at all",4,"No, I am not able to believe this","No, I am not able to believe this","Yes","6","6","5","6","4: neutral","No","No",".10                                                                                                                                                                                                                                                           ",0,"5                                                                                                                                                                                                                                                             ",1,"6                                                                                                                                                                                                                                                             ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,6,6,5,6,6,6,6,5,5,5,3,3,2,5,2,2,3,5,5,5,1,3,5,5,5,5,5,5,6,3,5,5,6,6,6,5,5,1,3,3,5,1,5,6,2,5,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581677,3581715,3581717,3581713,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581696,3581697,3581698,358169","Not flipped","Flipped","HTML",NA,NA,"aba203bd81b3ac7f8c115d9ef2e1906f                                                                                                ","English","Not cleaned","short",8,199,52,45,18,44,40,1
199,0,"no tester","Completed (31)","3581724                     ",NA,946,NA,NA,"Yes","Female",41,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"They committed incest and it’s gross.                                                                                                                                                                                                                       ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Incest is unnatural and just wrong. Also, there was a ‘special bond’ between them because of it, and that bond most likely impacted every relationship they ever had afterward. I don’t see how either could have had a healthy relationship with anyone",1,"1: Not at all",6,"No, I am not able to believe this","No, I am not able to believe this","Yes","6","2","5","6","3","No","No","10                                                                                                                                                                                                                                                            ",0,"500                                                                                                                                                                                                                                                           ",0,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,2,4,4,2,4,3,3,4,4,4,2,2,2,5,2,3,2,6,3,4,1,4,4,3,3,5,5,2,5,4,6,4,4,3,4,3,5,1,3,3,4,2,2,4,1,2,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581677,3581717,3581715,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581696,3581697,3581698,3581699,358170","Not flipped","Flipped","HTML",NA,NA,"b1251c93a870a5183b691d0c5706944d                                                                                                ","English","Not cleaned","short",7,149,36,31,18,40,24,1
30,0,"no tester","Completed (31)","3581724                     ",NA,573,NA,NA,"Yes","Female",42,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I believe morality consists in adhering to moral laws, and is not a calculation based on relative benefit and harm. Having said that, if a  moral norm  is trivial, I would NOT feel that a corresponding moral law is at stake.                              ",7,"The prohibition against incest exists to protect the genetic expression being transmitted from one generation to the next. This was not at stake in the example, nor was it a situation of unequal or coercive power.                                         ",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",4,"1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","1: Not at all","1: Not at all","7: Extremely","1: Not at all","7: Morally acceptable","Yes","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",3,3,4,2,5,4,5,4,4,3,5,5,5,2,3,5,3,2,5,5,3,1,4,1,3,2,4,3,3,4,4,2,2,3,4,4,3,2,1,5,3,3,3,3,2,2,5,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581676,3581677,3581715,3581717,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581697,3581698,3581699,358170","Flipped","Not flipped","HTML",NA,NA,"f643099b148240e0f12695afa17bc6e2                                                                                                ","English","Not cleaned","short",9,147,36,31,29,27,24,3
68,0,"no tester","Completed (31)","3581724                     ",NA,589,NA,NA,"Yes","Male",36,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","there are moral norms for a reason, they are there to keep us in check and make sure that we dont revert back to the animals that we came from. It's called being civilized.                                                                                  ",7,"nobody was hurt in the process of this and they are not going to repeat it.                                                                                                                                                                                   ",7,"No","No","No, I have no reason","Yes","Yes","Unsure","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",4,"1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","1: Not at all","1: Not at all","7: Extremely","4: neutral","4: neutral","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",3,2,2,3,2,4,1,3,2,5,6,3,2,3,4,4,5,1,3,4,5,4,6,3,3,3,5,3,5,5,4,5,3,4,2,5,5,4,3,2,5,4,3,4,2,1,3,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581676,3581677,3581718,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581697,3581698,3581699,3581700,358170","Flipped","Not flipped","HTML",NA,NA,"01ce15dc3987973052211a6f1ac15bd8                                                                                                ","English","Not cleaned","short",12,151,37,24,25,33,32,3
72,0,"no tester","Completed (31)","3581724                     ",NA,401,NA,NA,"Yes","Female",31,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"It's incest.                                                                                                                                                                                                                                                  ",7,"Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",1,"1: Not at all",1,"No, I am not able to believe this","No, I am not able to believe this","Yes","7: Extremely Irritated","1: Not at all","1: Not at all","7: Extremely","4: neutral","No","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,3,6,6,6,6,6,2,5,4,5,6,6,1,3,6,5,1,6,3,3,2,6,5,3,5,5,2,2,5,5,5,5,6,6,1,6,5,1,6,2,4,2,2,5,1,6,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581677,3581713,3581714,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581697,3581698,3581699,3581700,358170","Not flipped","Not flipped","HTML",NA,NA,"c1c51b99e5a70009e2b39c49716ce2fe                                                                                                ","English","Not cleaned","short",7,190,50,40,36,41,23,3
73,0,"no tester","Completed (31)","3581724                     ",NA,1121,NA,NA,"Yes","Male",65,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",7,"The sex was consensual and between adults. Apart from a learned social norm, which apparently was not a factor in this case, the only harmful consequence from incest is a greatly elevated risk of serious birth defect for any offspring. It would be morall",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",7,"1: Not at all",6,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","1: Not at all","1: Not at all","7: Extremely","1: Not at all","4: neutral","Yes","Yes","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,2,2,1,4,6,3,5,5,2,5,6,6,4,1,6,5,3,5,5,4,1,6,5,5,3,5,4,3,4,1,6,5,6,6,5,2,3,1,6,4,1,1,2,3,3,5,"9                                                                                                                                                                                                                                                             ","Soccer","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581677,3581717,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581697,3581698,3581699,3581700,3581702,358170","Not flipped","Not flipped","HTML",NA,NA,"52a8c38c55d7f77e2d98ec264488ee6e                                                                                                ","English","Not cleaned","short",9,171,48,32,39,28,24,3
77,0,"no tester","Completed (31)","3581724                     ",NA,544,NA,NA,"Yes","Male",57,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",3,"Society has an incest taboo. Hard to let it go.                                                                                                                                                                                                               ",4,"Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",4,"2",4,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","2","1: Not at all","3","5","3","Yes","No","5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",1,"47                                                                                                                                                                                                                                                            ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",3,2,5,5,5,5,5,3,5,4,5,3,3,3,5,3,2,3,5,5,4,2,3,4,4,5,4,3,2,5,4,4,5,5,5,5,5,4,2,2,4,4,4,3,5,2,4,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","Yes","Seen the same situation at least twice. Been a while.                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581677,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581693,3581693,3581694,3581695,3581697,3581698,3581699,3581700,358170","Flipped","Flipped","HTML",NA,NA,"ef19c4d7020a8dba1195572c128f79ec                                                                                                ","English","Not cleaned","short",13,169,44,37,19,40,29,3
