"lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","InJu2","InChM","InCf2","Hrm_rel","Hrm_oth","v_288","InIrr","InCu","InRsn2","InGut","v_164","v_165","v_166","dupl1_v_215","v_217","v_218","v_266","v_267","v_268","v_269","v_270","v_271","v_272","v_273","v_274","v_275","v_276","v_277","v_278","v_279","v_280","v_281","v_282","v_283","v_284","v_285","v_286","v_219","v_220","v_221","v_222","v_223","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","v_242","v_243","v_244","v_245","v_246","v_247","v_248","v_249","v_250","v_251","v_252","v_253","v_254","v_255","v_256","v_257","v_258","v_259","v_260","v_261","v_262","v_263","v_264","v_265","v_289","v_287","ethics","ethStR","Prv_in","Prv_in_S","v_215","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","condition","NFC_lie","NFC","nfc_order","nfc_pred","nfc_dec","nfc_amb","nfc_clos"
2,0,"no tester","Completed (31)","3447488                     ",NA,464,NA,NA,"Yes","Male",30,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"It can lead to birth defects if she becomes pregnant.                                                                                                                                                                                                         ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It can affect their family life and the relationship with their friends if their secret was revealed.                                                                                                                                                         ",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","Yes","6","6","7: Extremely","7: Extremely","1: Morally wrong","No","No","10                                                                                                                                                                                                                                                            ","100                                                                                                                                                                                                                                                           ","24                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,3,4,4,2,4,3,4,5,5,4,3,2,5,4,1,2,1,4,6,2,1,4,1,3,2,3,3,4,3,4,3,4,3,3,3,3,3,1,3,2,4,1,3,4,1,5,"Hockey","9                                                                                                                                                                                                                                                             ","Yes","I have completed tests like this in the past.                                                                                                                                                                                                                 ","No","-99                                                                                                                                                                                                                                                           ","AYMTVUKKHSREN                                                                                                                                                                                                                                                 ","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36                                                                                                                                            ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Massachusetts                                                                                                                                                                                                                                                 ","Brookline                                                                                                                                                                                                                                                     ","42.3431                                                                                                                                                                                                                                                       ","-71.123                                                                                                                                                                                                                                                       ",0,"-66                                                                                                                                                                                                                                                           ","3447435,3447436,3447437,3447438,3447439,3447440,3447441,3447443,3447481,3447482,3447478,3447479,3447444,3447445,3447446,3447447,3447448,3447449,3447450,3447451,3447452,3447453,3447454,3447455,3447456,3447457,3447458,3447459,3447460,3447461,3447462,344746","Not flipped","Flipped","HTML",NA,NA,"726f4af045619aa7ca6ecec089830e3d                                                                                                ","English","Not cleaned","short",5,141,36,25,20,33,27
3,0,"no tester","Completed (31)","3447488                     ",NA,600,NA,NA,"Yes","Female",39,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I feel that people should follow rules and norms regardless of whether someone or not someone is harmed or even paying attention.                                                                                                                             ",1,"It is morally wrong to have sex with a relative.                                                                                                                                                                                                              ",5,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It does affect family members if they find out.                                                                                                                                                                                                               ",1,"2",5,"No, I am not able to believe this","No, I am not able to believe this","Yes","5","1: Not at all","6","2","1: Morally wrong","No","No","10                                                                                                                                                                                                                                                            ","5                                                                                                                                                                                                                                                             ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,1,6,6,6,6,6,5,6,4,6,2,2,2,5,3,2,4,6,6,4,2,3,5,2,5,4,6,2,6,6,6,2,6,6,4,6,6,1,2,2,6,2,1,6,2,6,"Hockey","9                                                                                                                                                                                                                                                             ","Yes","Nursing Ethics                                                                                                                                                                                                                                                ","No","-99                                                                                                                                                                                                                                                           ","A3SL5QRF7MX2P1                                                                                                                                                                                                                                                ","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36                                                                                                                                            ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","-99                                                                                                                                                                                                                                                           ","-99                                                                                                                                                                                                                                                           ","37.751                                                                                                                                                                                                                                                        ","-97.822                                                                                                                                                                                                                                                       ",0,"-66                                                                                                                                                                                                                                                           ","3447435,3447436,3447437,3447438,3447439,3447440,3447441,3447442,3447443,3447481,3447480,3447482,3447444,3447445,3447446,3447447,3447448,3447449,3447450,3447451,3447452,3447453,3447454,3447455,3447456,3447457,3447458,3447459,3447460,3447461,3447462,344746","Flipped","Flipped","HTML",NA,NA,"03a5d25cac0aff25ffd4bdfbde4c62a8                                                                                                ","English","Not cleaned","short",11,187,58,44,16,47,22
6,0,"no tester","Completed (31)","3447488                     ",NA,785,NA,NA,"Yes","Male",32,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Social norms are established for a reason. That's what makes them normal. To go in a different direction than that is wrong and weird.                                                                                                                        ",5,"Incest was not a big thing till the last few centuries, is it not a really considered a social norm to not take part in incest as it is considered taboo.                                                                                                     ",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",6,"1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","1: Not at all","1: Not at all","7: Extremely","7: Extremely","7: Morally acceptable","No","No","10                                                                                                                                                                                                                                                            ","100                                                                                                                                                                                                                                                           ","24                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,3,6,5,2,5,2,5,5,5,6,1,1,6,6,1,6,2,3,4,4,1,2,4,3,4,4,2,3,4,6,6,5,6,6,1,6,4,1,3,2,5,5,3,4,1,4,"Hockey","9                                                                                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A20N1NK5X5S88F                                                                                                                                                                                                                                                ","Mozilla/5.0 (Android 8.1.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0                                                                                                                                                                                          ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","New York                                                                                                                                                                                                                                                      ","New York                                                                                                                                                                                                                                                      ","40.7185                                                                                                                                                                                                                                                       ","-74.0025                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3447435,3447436,3447437,3447438,3447439,3447440,3447441,3447442,3447443,3447478,3447482,3447444,3447445,3447446,3447447,3447448,3447449,3447450,3447451,3447452,3447453,3447454,3447455,3447456,3447457,3447458,3447459,3447460,3447461,3447463,3447464,344746","Flipped","Flipped","HTML",NA,NA,"17c7d467885022f179410b9a6fd45be9                                                                                                ","English","Not cleaned","short",10,167,47,28,20,47,25
11,0,"no tester","Completed (31)","3447488                     ",NA,1557,NA,NA,"Yes","Male",64,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It's never right to violate a moral norm. Not for fun, not if no one is hurt, not for any reason whatsoever.                                                                                                                                                  ",1,"I believe that the description I had of Anne would absolutely judge that the behavior of a brother and sister making love is morally wrong. I can't think of any one in their right mind that would think it was acceptable.                                  ",7,"No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It's morally unacceptable in every way. If 2 people decided they thought it was morally acceptable to kill someone that doesn't make it so. The same goes for this scenario.                                                                                  ",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","Yes","5","1: Not at all","7: Extremely","1: Not at all","1: Morally wrong","No","No",".10                                                                                                                                                                                                                                                           ","5                                                                                                                                                                                                                                                             ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,6,6,6,6,4,5,4,6,4,4,6,6,5,5,6,5,1,5,6,5,1,6,4,2,6,5,1,3,5,5,6,6,5,4,5,5,6,1,4,3,6,1,6,6,1,6,"Hockey","9                                                                                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","AOSO1D81K0ET0                                                                                                                                                                                                                                                 ","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36                                                                                                                                      ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Florida                                                                                                                                                                                                                                                       ","Orlando                                                                                                                                                                                                                                                       ","28.5523                                                                                                                                                                                                                                                       ","-81.1795                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3447435,3447436,3447437,3447438,3447439,3447440,3447441,3447442,3447443,3447478,3447480,3447479,3447444,3447445,3447446,3447447,3447448,3447449,3447450,3447451,3447452,3447453,3447454,3447455,3447456,3447457,3447458,3447459,3447460,3447461,3447462,344746","Not flipped","Flipped","HTML",NA,NA,"23db29526c7898a5a68f1128f8339117                                                                                                ","English","Not cleaned","short",5,210,44,42,38,51,35
12,0,"no tester","Completed (31)","3447488                     ",NA,980,NA,NA,"Yes","Female",50,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"Regardless if they love to make love, it shouldn't be with each other. It may make for an interesting TV show, but in reality that gets you in jail.                                                                                                          ",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","No, I have no reason","It's wrong and I can provide a valid reason.","From a moral stand point it is wrong, and opens up a lot of questions. Were they both molested in their youth? Did they enjoy touching each other in their teens or earlier? How will either deal with relationships?When they are in their 40's this tends to",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","Yes","5","1: Not at all","7: Extremely","4: neutral","2","No","No",".10                                                                                                                                                                                                                                                           ","100                                                                                                                                                                                                                                                           ","24                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",2,3,1,1,4,1,2,3,2,2,3,6,6,4,3,6,5,2,2,3,3,2,6,2,3,2,3,3,2,3,2,2,6,2,3,3,3,2,1,4,2,6,2,3,3,2,3,"Soccer","9                                                                                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","ARNX6JWMYEOAP                                                                                                                                                                                                                                                 ","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15                                                                                                                                       ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Florida                                                                                                                                                                                                                                                       ","Clermont                                                                                                                                                                                                                                                      ","28.4113                                                                                                                                                                                                                                                       ","-81.7812                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3447435,3447436,3447437,3447438,3447439,3447440,3447441,3447443,3447482,3447480,3447481,3447479,3447444,3447445,3447446,3447447,3447448,3447449,3447450,3447451,3447452,3447453,3447454,3447455,3447456,3447457,3447458,3447459,3447460,3447461,3447462,344746","Flipped","Not flipped","HTML",NA,NA,"b5d7576b92665ce11ce0af51cfa141a7                                                                                                ","English","Not cleaned","short",9,130,25,22,37,27,19
14,0,"no tester","Completed (31)","3447488                     ",NA,956,NA,NA,"Yes","Female",34,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I think we're held at a higher ethical and moral standard at all times, that should be the case for everyone. Unfortunately not everyone lives by that and sometimes doing this for fun or personal enjoyment can hurt another person even if there's no harm ",1,"Even if she has problems defending her topic, I would assume she has some basic morale in her to figure what is right and wrong. Most people grow up to know that incest is wrong and if that it's illegal in this country. I would assume she knew that and a",6,"Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It's wrong because incest is illegal in this country, we are also taught from an early age that it's wrong. Morally it's wrong and ethically it's illegal to be trying to do such activity.                                                                   ",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","Yes","6","7: Extremely confused","6","3","1: Morally wrong","No","No","10                                                                                                                                                                                                                                                            ","20                                                                                                                                                                                                                                                            ","24                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,3,3,NA,6,4,2,3,1,NA,3,6,2,5,3,6,3,3,2,3,4,3,4,3,2,1,3,4,2,1,3,1,4,4,4,1,3,3,1,4,1,5,3,6,3,3,5,"Soccer","9                                                                                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A2ZQCHONMAJZF                                                                                                                                                                                                                                                 ","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0                                                                                                                                                                                  ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","Oregon                                                                                                                                                                                                                                                        ","Corvallis                                                                                                                                                                                                                                                     ","44.5904                                                                                                                                                                                                                                                       ","-123.272                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3447435,3447436,3447437,3447438,3447439,3447440,3447441,3447442,3447443,3447482,3447478,3447480,3447444,3447445,3447446,3447447,3447448,3447449,3447450,3447451,3447452,3447453,3447454,3447455,3447456,3447457,3447458,3447459,3447460,3447461,3447462,344746","Not flipped","Not flipped","HTML",NA,NA,"1736886ad14c15deacefe86f31d7f69b                                                                                                ","English","Not cleaned","short",13,NA,37,21,30,27,NA
21,0,"no tester","Completed (31)","3447488                     ",NA,1135,NA,NA,"Yes","Male",25,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Rules and norms are laid down to make individuals safe and the society safe at large. Under no circumstances is it moral to intentionally break such laid down rules and regulations, whether one would be caught or not. Rules were made for a purpose       ",2,"It is plain immoral. Having sex with one's siblings consciously (not under the influence of drugs or alcohol) is an unfathomable thing and the fact that they gave it a thought for some time, went ahead and did it is really upsetting and every right think",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Although they were both consenting adults, and it didn't harm anyone else. I'm certain at the long run that it would harm either of them. Sex usually involves a lot of emotions and sex between siblings is even going to attract more emotions. It isn't ver",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","Yes","7: Extremely Irritated","1: Not at all","6","7: Extremely","4: neutral","No","No","10                                                                                                                                                                                                                                                            ","100                                                                                                                                                                                                                                                           ","28                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,6,5,6,4,5,5,6,5,4,6,6,6,6,4,5,6,6,6,4,5,1,6,5,3,6,6,6,1,6,6,6,5,6,6,5,4,6,1,5,2,6,1,6,6,5,5,"Soccer","9                                                                                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","A3DB8QTQS5J8MM                                                                                                                                                                                                                                                ","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.103 YaBrowser/18.7.0.823.00 Safari/537.36                                                                                                                             ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","-99                                                                                                                                                                                                                                                           ","-99                                                                                                                                                                                                                                                           ","37.751                                                                                                                                                                                                                                                        ","-97.822                                                                                                                                                                                                                                                       ",0,"-66                                                                                                                                                                                                                                                           ","3447435,3447436,3447437,3447438,3447439,3447440,3447441,3447442,3447443,3447482,3447479,3447478,3447480,3447444,3447445,3447446,3447447,3447448,3447449,3447450,3447451,3447452,3447453,3447454,3447455,3447456,3447457,3447458,3447459,3447460,3447461,344746","Flipped","Not flipped","HTML",NA,NA,"12fc662a9fc9e6d821cb080fd47a8922                                                                                                ","English","Not cleaned","short",14,218,52,45,40,48,33
22,0,"no tester","Completed (31)","3447488                     ",NA,907,NA,NA,"Yes","Female",43,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I find that behavior immature and a waste of others' time, and therefore can be considered offensive beyond just the violation of an established moral norm.                                                                                                  ",4,"Because the participants view(ed) the behavior as neutral, and the decision is not about Anne's feelings about it.                                                                                                                                            ",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",4,"1: Not at all",6,"No, I am not able to believe this","No, I am not able to believe this","Yes","2","3","5","2","3","No","No","10                                                                                                                                                                                                                                                            ","5                                                                                                                                                                                                                                                             ","47                                                                                                                                                                                                                                                            ","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,4,4,3,4,5,4,3,3,2,4,5,5,4,4,6,6,3,4,3,2,1,6,4,2,6,5,1,3,2,2,4,6,6,5,3,5,5,1,5,2,5,1,4,4,1,4,"Hockey","9                                                                                                                                                                                                                                                             ","Yes","Ethics 101 in undergraduate university                                                                                                                                                                                                                        ","No","-99                                                                                                                                                                                                                                                           ","A10AIKYWR5YZTG                                                                                                                                                                                                                                                ","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.81 Safari/537.36                                                                                                                                      ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","New Jersey                                                                                                                                                                                                                                                    ","Jersey City                                                                                                                                                                                                                                                   ","40.7221                                                                                                                                                                                                                                                       ","-74.0469                                                                                                                                                                                                                                                      ",0,"-66                                                                                                                                                                                                                                                           ","3447435,3447436,3447437,3447438,3447439,3447440,3447441,3447442,3447443,3447444,3447445,3447446,3447447,3447448,3447449,3447450,3447451,3447452,3447453,3447454,3447455,3447456,3447457,3447458,3447459,3447460,3447461,3447463,3447464,3447465,3447466,344746","Flipped","Flipped","HTML",NA,NA,"2478c2214079f2fd3de44400c90d797b                                                                                                ","English","Not cleaned","short",7,169,42,32,37,35,23
