"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","hrm_st","nrm_st","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","InJu2","InChM","InCf2","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","v_182","v_214","v_213","v_212","v_211","v_210","v_209","v_208","v_207","v_206","ethics","ethStR","Prv_in","Prv_in_S","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","condition","Ju1_bin","Ju2_bin","wrong1","wrong2","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","Dumb_response","right_change","SocDes","NFC"
1,11,0,"no tester","Suspended (22)","2300981                     ",NA,490,NA,NA,"Yes","Male",38,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I just feel it is completely wrong because no matter the situation you should be the best person you can.                                                                                                                                                     ",1,"Because it's disgusting.                                                                                                                                                                                                                                      ","no harm mentioned","norms not mentioned",7,"Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong and I can provide a valid reason.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-66                                                                                                                                                                                                                                                           ",NA,"-66                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981                               ","Not flipped","Flipped","HTML","1manip","wrong",NA,"wrong",NA,"wrong","wrong","wrong","wrong","wrong",NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,0,NA,NA,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,NA,"missing","missing","true","false","reasons","reasons",NA,NA
2,56,0,"no tester","Completed (31)","2301002                     ",NA,223,NA,NA,"Yes","Male",27,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I would ask what a moral norm actually is. If it comes from people, then it is likely a cultural norm, which is not inherently good.                                                                                                                          ",4,"Because it is reasonable and it would protect them better.                                                                                                                                                                                                    ","no harm mentioned","norms not mentioned",4,"No","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"4: neutral",4,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","4: neutral","4: neutral",4,"4: neutral",4,"No","No","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300997,2300997,2300997,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300982,230098","Not flipped","Flipped","HTML","1manip","neutral","neutral","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"neutral","true","true","true","false","nothing wrong","nothing wrong",6,6
3,70,0,"no tester","Completed (31)","2301002                     ",NA,583,NA,NA,"Yes","Female",29,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",7,"Consensual sex between adults is perfectly okay and it is their business if they tell others about it.                                                                                                                                                        ","no harm mentioned","norms not mentioned",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",7,"1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",4,"7: Extremely",7,"No","No","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","Yes","It was some mandatory freshman class called Journeys or something                                                                                                                                                                                             ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300982,2300983,2300984,2300985,2300986,230098","Flipped","Not flipped","HTML","1manip","right","right","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"right","true","true","true","true","nothing wrong","right initially",6,6
4,24,0,"no tester","Completed (31)","2301002                     ",NA,425,NA,NA,"Yes","Male",32,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",7,"I am an only child, so I honestly don't know how it is to have a sister, but as long as they do not plan to have a child I think it could be a fun activity to partake in.                                                                                    ","no harm mentioned","norms not mentioned",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",7,"1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",4,"No","No","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300963,2300997,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300982,2300983,2300984,2300985,230098","Flipped","Flipped","HTML","1manip","right","right","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"neutral","true","true","true","true","nothing wrong","right initially",3,3
5,62,0,"no tester","Completed (31)","2301002                     ",NA,545,NA,NA,"Yes","Female",35,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"I think it would be up to them and personally wouldn't really think they were terrible if both consented.                                                                                                                                                     ","no harm mentioned","norms not mentioned",7,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","4: neutral","4: neutral",7,"7: Extremely",5,"No","Yes","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300963,2300997,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300955,2300955,2300956,2300957,2300958,2300959,2300960,2300961,230096","Not flipped","Not flipped","HTML","1manip","neutral","neutral","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,"right","true","true","true","true","nothing wrong","nothing wrong",9,9
6,64,0,"no tester","Completed (31)","2301002                     ",NA,422,NA,NA,"Yes","Male",57,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"My view is if no one is harmed and no one knows, it is not wrong. It is not right by default however.                                                                                                                                                         ","no harm mentioned","norms not mentioned",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","4: neutral","1: Not at all",6,"1: Not at all",4,"No","No","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","No","-99                                                                                                                                                                                                                                                           ","Yes","In another survey in a very similar form. Part of a study that I do not recall any details.                                                                                                                                                                   ","                                                                                                                                                                                                                                                              ","https://s3.amazonaws.com/mturk_bulk/hits/271231541/xP_dVUw8KJhIejSU2fgXVQ.html?assignmentId=ASSIGNMENT_ID_NOT_AVAILABLE&hitId=3YLPJ8OXX8DE17YEWWZMS2S0D33X42                                                                                                  ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300982,2300983,2300984,2300985,2300987,230098","Flipped","Flipped","HTML","1manip","neutral","neutral","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"neutral","true","true","true","true","nothing wrong","nothing wrong",4,4
7,13,0,"no tester","Completed (31)","2301002                     ",NA,440,NA,NA,"Yes","Male",23,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"Sometimes you have to sit and say no one got hurt a lot of worse things could have happened and you know....if it doesn't happen again why talk about it                                                                                                      ","no harm mentioned","norms not mentioned",5,"No","Yes","Unsure","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"1: Not at all",4,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"2",2,"No","No","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300982,2300983,2300984,2300985,2300986,230098","Not flipped","Not flipped","HTML","1manip","neutral","neutral","not wrong","not wrong","not wrong","wrong","wrong","wrong","not wrong","not wrong",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1,TRUE,2,"unstated","unstated","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,"wrong","true","true","true","true","nothing wrong","nothing wrong",7,7
8,63,0,"no tester","Completed (31)","2301002                     ",NA,247,NA,NA,"Yes","Female",37,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It is not right just to violate something for fun. That is cruel and indescribable. It is not right t all! It could hurt someone mentally and physically!                                                                                                     ",5,"The things about morals and they do things that are right so make your judgement based on that.                                                                                                                                                               ","no harm mentioned","norms mentioned",5,"Yes","Yes","Unsure","No","Yes","Unsure","No","No","Unsure","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",5,"4: neutral",5,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","4: neutral","4: neutral",5,"5",5,"No","No","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300982,2300983,2300984,2300985,230098","Flipped","Flipped","HTML","1manip","right","right","not wrong","not wrong","not wrong","wrong","wrong","not wrong","not wrong","not wrong",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","unstated","unstated","unstated","unstated","unstated","no reason","no reason","no reason",FALSE,"right","true","false","false","false","nothing wrong","right initially",9,9
9,43,0,"no tester","Completed (31)","2301002                     ",NA,428,NA,NA,"Yes","Male",37,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",7,"They are consenting adults and took precautions to avoid pregnancy.  No one was hurt as a result.                                                                                                                                                             ","no harm mentioned","norms not mentioned",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",7,"1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",7,"No","No","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300982,2300983,2300984,2300985,2300986,230098","Flipped","Flipped","HTML","1manip","right","right","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"right","true","true","true","true","nothing wrong","right initially",7,7
10,29,0,"no tester","Completed (31)","2301002                     ",NA,254,NA,NA,"Yes","Female",31,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It's not right.                                                                                                                                                                                                                                               ",4,"Why would he care?                                                                                                                                                                                                                                            ","no harm mentioned","norms not mentioned",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"1: Not at all",5,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"2",3,"No","No","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","Yes","business ethics                                                                                                                                                                                                                                               ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300997,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300982,2300983,2300984,230098","Flipped","Not flipped","HTML","1manip","neutral","neutral","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"wrong","true","true","true","false","nothing wrong","nothing wrong",4,4
