"lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","InJu1","Int_Rsn","hrm_st","nrm_st","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","InCS2","string_coded","CSch","InJu2","InChM","InCf2","Hrm_rel","Hrm_oth","InIrr","InCu","InRsn2","InGut","v_164","v_165","v_166","v_266","attn1","v_267","attn2","v_268","attn3","v_269","attn4","normQ","Nrm_el","v_215","baseball","v_217","machine","v_218","lillypad","v_219","v_220","v_221","v_222","v_223","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","v_242","v_243","v_244","v_245","v_246","v_247","v_248","v_249","v_250","v_251","v_252","v_253","v_254","v_255","v_256","v_257","v_258","v_259","v_260","v_261","v_262","v_263","v_264","v_265","v_182","v_214","v_213","v_212","v_211","v_210","v_209","v_208","v_207","v_206","ethics","ethStR","Prv_in","Prv_in_S","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","condition","SocDes","NFC_lie","NFC","nfc_order","nfc_pred","nfc_dec","nfc_amb","nfc_clos","attnJM","crt"
1,0,"no tester","Completed (31)","2501425                     ",NA,674,NA,NA,"Yes","Female",44,2,"I think most people would say it is morally wrong.                                                                                                                                                                                                            ","no harm mentioned","norms mentioned",6,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","I believe that only married people should perform that act, as taught by my Catholic faith.                                                                                                                                                                   ","reason","reason",NA,1,"1: Not at all",6,"No, I am not able to believe this","No, I am not able to believe this","4: neutral","1: Not at all","6","1: Not at all","2","No","No","France                                                                                                                                                                                                                                                        ","right","I don't remember.                                                                                                                                                                                                                                             ","wrong","I don't remember.                                                                                                                                                                                                                                             ","wrong","Ethics                                                                                                                                                                                                                                                        ","right","Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I am a Catholic, and I agree with the teaching of the Catholic church that sex is only meant for a married man and woman.                                                                                                                                     ","5                                                                                                                                                                                                                                                             ","right","5                                                                                                                                                                                                                                                             ","right","47                                                                                                                                                                                                                                                            ","right",4,5,5,4,6,6,6,5,5,4,5,6,6,4,5,6,4,5,6,6,4,1,6,6,3,5,6,6,3,5,5,5,4,6,6,5,4,4,1,5,3,5,1,3,6,2,6,"FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","No","-99                                                                                                                                                                                                                                                           ","Yes","I remember reading something similar for another study at some point in the past year.                                                                                                                                                                        ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2501375,2501376,2501377,2501378,2501379,2501380,2501381,2501382,2501383,2501384,2501385,2501386,2501387,2501388,2501389,2501390,2501391,2501392,2501393,2501394,2501395,2501396,2501397,2501398,2501399,2501400,2501401,2501402,2501404,2501403,2501405,250140","Flipped","Flipped","HTML",NA,NA,"0ebd7da9dfee83f39bf3743e4e11182f                                                                                                ","English","1manip",8,10,209,55,45,37,42,30,1,3
3,0,"no tester","Completed (31)","2501425                     ",NA,1617,NA,NA,"Yes","Male",30,5,"She would say it is morally acceptable to be different then fail to come up with any reasons why.                                                                                                                                                             ","no harm mentioned","norms not mentioned",1,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","No","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ","dumbfounded",NA,NA,6,"3",1,"Yes, I am able to believe this","Yes, I am able to believe this","1: Not at all","1: Not at all","5","1: Not at all","3","No","No","Europe                                                                                                                                                                                                                                                        ","wrong","summer                                                                                                                                                                                                                                                        ","right","teacher                                                                                                                                                                                                                                                       ","wrong","psychology                                                                                                                                                                                                                                                    ","wrong","Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",".05                                                                                                                                                                                                                                                           ","right","5                                                                                                                                                                                                                                                             ","right","47                                                                                                                                                                                                                                                            ","right",4,3,6,6,3,5,1,4,6,6,4,6,1,6,3,6,6,6,6,6,6,1,6,5,1,6,6,1,1,6,1,4,5,6,6,1,3,4,1,4,1,6,1,6,5,1,2,"FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2501375,2501376,2501377,2501378,2501379,2501380,2501381,2501382,2501383,2501384,2501385,2501386,2501387,2501388,2501389,2501390,2501391,2501392,2501393,2501394,2501395,2501396,2501397,2501399,2501400,2501401,2501402,2501403,2501404,2501405,2501406,250140","Flipped","Flipped","HTML",NA,NA,"0896727d70ccc4837b7422d8afbea0e4                                                                                                ","English","1manip",6,10,180,42,37,35,41,25,1,3
4,0,"no tester","Completed (31)","2501425                     ",NA,1148,NA,NA,"Yes","Female",33,3,"Whether or not they used plenty of protection and decided not to do it again it still goes against the law of nature.  A baby, even though unlikely, could still be produced from the union and be born with disabilities.  They knew it was wrong as they dec","harm mentioned","norms mentioned",5,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Because even though no one else is directly affected there are people inadvertently affected including themselves.  It doesn't seem like a healthy sibling relationship and that will transfer over to their other future romantic relationships.  It's also a","reason","reason",NA,2,"4: neutral",5,"No, I am not able to believe this","No, I am not able to believe this","5","4: neutral","5","5","3","No","No","France                                                                                                                                                                                                                                                        ","right","Fall?                                                                                                                                                                                                                                                         ","wrong","I don't remember                                                                                                                                                                                                                                              ","wrong","Ethics                                                                                                                                                                                                                                                        ","right","Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Because there is always some level of harm done.  It's a selfish approach to life and people can and a lot of times will be indirectly affected by your actions throughout life.                                                                              ","5                                                                                                                                                                                                                                                             ","right","100                                                                                                                                                                                                                                                           ","intuitive_wrong","24                                                                                                                                                                                                                                                            ","intuitive_wrong",3,4,5,3,4,4,5,3,5,2,5,4,3,4,4,5,5,5,6,5,5,1,5,3,4,5,5,5,3,4,4,5,3,5,5,4,3,4,1,3,3,5,3,3,5,3,5,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2501375,2501376,2501377,2501378,2501379,2501380,2501381,2501382,2501383,2501384,2501385,2501386,2501387,2501388,2501389,2501390,2501391,2501392,2501393,2501394,2501395,2501396,2501397,2501398,2501399,2501400,2501401,2501402,2501403,2501404,2501405,250140","Flipped","Not flipped","HTML",NA,NA,"4833a27aa9671cc9e7dc00aa97ad6070                                                                                                ","English","1manip",4,13,175,43,37,29,40,26,1,1
5,0,"no tester","Completed (31)","2501425                     ",NA,677,NA,NA,"Yes","Female",40,1,"these two are brother and sister and committing incest.                                                                                                                                                                                                       ","no harm mentioned","norms mentioned",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","the two of them are knowingly committing to incest and it is the whole reason why they are keeping it a secret.                                                                                                                                               ","reason","reason",NA,1,"1: Not at all",7,"Yes, I am able to believe this","No, I am not able to believe this","7: Extremely Irritated","1: Not at all","7: Extremely","1: Not at all","4: neutral","No","Yes","france                                                                                                                                                                                                                                                        ","right","summer                                                                                                                                                                                                                                                        ","right","unsure                                                                                                                                                                                                                                                        ","wrong","philosophy                                                                                                                                                                                                                                                    ","right","Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","because it constitues a deviant behavior that both parties are willing to overlook to satisfy their own reasoning  or query                                                                                                                                   ","100                                                                                                                                                                                                                                                           ","wrong","100                                                                                                                                                                                                                                                           ","intuitive_wrong","26                                                                                                                                                                                                                                                            ","wrong",4,4,4,1,4,5,2,2,5,4,4,5,5,4,2,3,5,5,5,6,5,2,NA,4,3,4,3,5,2,1,1,1,1,2,5,2,3,3,2,4,3,5,2,2,2,2,5,"FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2501375,2501376,2501377,2501378,2501379,2501380,2501381,2501382,2501383,2501384,2501385,2501386,2501387,2501388,2501389,2501390,2501391,2501392,2501393,2501394,2501395,2501396,2501397,2501398,2501399,2501400,2501401,2501402,2501403,2501404,2501405,250140","Flipped","Flipped","HTML",NA,NA,"3d26113fcf9f05a5497d35be0ffbf2c7                                                                                                ","English","1manip",10,13,NA,43,23,NA,27,21,2,0
6,0,"no tester","Completed (31)","2501425                     ",NA,956,NA,NA,"Yes","Female",39,2,"Because they are siblings.                                                                                                                                                                                                                                    ","no harm mentioned","norms mentioned",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Because they are siblings. It's disgusting.                                                                                                                                                                                                                   ","dumbfounded","unsupported declaration + tautological reason",1,2,"1: Not at all",6,"No, I am not able to believe this","No, I am not able to believe this","5","2","7: Extremely","7: Extremely","4: neutral","No","No","I don't remember                                                                                                                                                                                                                                              ","wrong","Summer                                                                                                                                                                                                                                                        ","right","I don't remember                                                                                                                                                                                                                                              ","wrong","I don't remember                                                                                                                                                                                                                                              ","wrong","Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","When it comes to incest it's wrong.                                                                                                                                                                                                                           ","10                                                                                                                                                                                                                                                            ","intuitive_wrong","100242                                                                                                                                                                                                                                                        ","wrong","24                                                                                                                                                                                                                                                            ","intuitive_wrong",2,3,5,4,3,4,3,3,3,3,4,3,3,4,4,4,4,3,4,3,4,3,3,4,3,4,4,3,2,4,4,4,3,4,4,3,3,3,4,3,3,3,2,3,3,2,3,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2501375,2501376,2501377,2501378,2501379,2501380,2501381,2501382,2501383,2501384,2501385,2501386,2501387,2501388,2501389,2501390,2501391,2501392,2501393,2501394,2501395,2501396,2501397,2501398,2501399,2501400,2501401,2501402,2501403,2501404,2501405,250140","Not flipped","Flipped","HTML",NA,NA,"af0b4301e97f596f41130f86267ea8fc                                                                                                ","English","1manip",4,14,143,34,28,24,33,24,1,0
7,0,"no tester","Completed (31)","2501425                     ",NA,510,NA,NA,"Yes","Male",30,4,"Anne should not be making any judgement at all. It is not for her to judge unless she's related to them, but in the story she is not.                                                                                                                         ","no harm mentioned","norms not mentioned",6,"No","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ","nothing wrong",NA,NA,4,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","6","6","6","1: Not at all","4: neutral","No","No","France                                                                                                                                                                                                                                                        ","right","Summer                                                                                                                                                                                                                                                        ","right","student                                                                                                                                                                                                                                                       ","right","ethics                                                                                                                                                                                                                                                        ","right","Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","5                                                                                                                                                                                                                                                             ","right","5                                                                                                                                                                                                                                                             ","right","47                                                                                                                                                                                                                                                            ","right",2,4,4,4,4,4,4,4,3,3,3,4,4,3,2,4,4,3,4,5,3,2,3,4,3,3,4,3,3,3,4,5,2,4,4,2,3,2,2,4,3,3,4,3,4,3,4,"FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2501375,2501376,2501377,2501378,2501379,2501380,2501381,2501382,2501383,2501384,2501385,2501386,2501387,2501388,2501389,2501390,2501391,2501392,2501393,2501394,2501395,2501396,2501397,2501399,2501400,2501401,2501402,2501404,2501403,2501405,2501406,250140","Flipped","Flipped","HTML",NA,NA,"ea5db5478e1e05b3782ba14d4b6dc6a5                                                                                                ","English","1manip",7,14,145,36,30,26,28,25,3,3
8,0,"no tester","Suspended (22)","2501414                     ",NA,495,NA,NA,"Yes","Female",30,1,"It is taboo and unnatural.                                                                                                                                                                                                                                    ","no harm mentioned","norms mentioned",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","If the relationship continues they risk having children who suffer from severe deformities.                                                                                                                                                                   ","reason","reason",NA,2,"2",5,"No, I am not able to believe this","No, I am not able to believe this","5","1: Not at all","5","6","6","No","No","France                                                                                                                                                                                                                                                        ","right","Summer                                                                                                                                                                                                                                                        ","right","Student                                                                                                                                                                                                                                                       ","right","Psychology                                                                                                                                                                                                                                                    ","wrong",NA,"-66                                                                                                                                                                                                                                                           ","-66                                                                                                                                                                                                                                                           ",NA,"-66                                                                                                                                                                                                                                                           ",NA,"-66                                                                                                                                                                                                                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-66                                                                                                                                                                                                                                                           ",NA,"-66                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2501375,2501376,2501377,2501378,2501379,2501380,2501381,2501382,2501383,2501384,2501385,2501386,2501387,2501388,2501389,2501390,2501391,2501392,2501393,2501394,2501395,2501396,2501397,2501398,2501399,2501400,2501401,2501402,2501403,2501404,2501405,250140","Not flipped","Not flipped","HTML",NA,NA,"33a293d848c7b337bab442bed989b77f                                                                                                ","English","1manip",NA,NA,NA,NA,NA,NA,NA,NA,3,NA
