"lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","InJu2","InChM","InCf2","Hrm_rel","Hrm_oth","v_288","InIrr","InCu","InRsn2","InGut","v_164","v_165","v_166","dupl1_v_215","crt1","v_217","crt2","v_218","crt3","v_266","v_267","v_268","v_269","v_270","v_271","v_272","v_273","v_274","v_275","v_276","v_277","v_278","v_279","v_280","v_281","v_282","v_283","v_284","v_285","v_286","v_219","v_220","v_221","v_222","v_223","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","v_242","v_243","v_244","v_245","v_246","v_247","v_248","v_249","v_250","v_251","v_252","v_253","v_254","v_255","v_256","v_257","v_258","v_259","v_260","v_261","v_262","v_263","v_264","v_265","v_287","v_289","ethics","ethStR","Prv_in","Prv_in_S","v_215","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","condition","NFC_lie","NFC","nfc_order","nfc_pred","nfc_dec","nfc_amb","nfc_clos","crt_tot","Ju1_bin","Ju2_bin","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5"
37,0,"no tester","Completed (31)","3581724                     ",NA,1341,NA,NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",6,"You will make better decisions  Professional development is enhanced  Commitment will be stronger                                                                                                                                                             ",6,"Yes","No","Unsure","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","It's wrong and I can provide a valid reason.","they are enjoyed with together so they don't make any wrong problem                                                                                                                                                                                           ",6,"6",5,"No, I am not able to believe this","No, I am not able to believe this","Yes","6","6","6","6","5","No","No","0.05                                                                                                                                                                                                                                                          ",1,"5                                                                                                                                                                                                                                                             ",1,"THE PATCH DOUBLES IN SIZE EVERY DAY AND SO ON THE 47TH DAY THE PATCH WILL BE HALF THE SIZE IT IS ON THE 48TH DAY                                                                                                                                              ",1,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",1,4,4,5,4,4,2,4,2,5,5,3,5,3,4,2,2,3,3,2,3,4,2,5,5,3,4,2,4,5,3,4,2,3,4,2,2,3,4,2,5,2,4,5,3,5,3,"9                                                                                                                                                                                                                                                             ","Soccer","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581669,3581669,3581674,3581675,3581677,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581696,3581697,3581698,3581699,358170","Flipped","Flipped","HTML",NA,NA,"7cca7d1ffd2dd41652aebadda2a34413                                                                                                ","English","Not cleaned","short",20,140,31,28,19,27,35,3,"right","right","not wrong","not wrong","not wrong","not wrong","wrong","not wrong",FALSE,FALSE,FALSE,TRUE,TRUE
40,0,"no tester","Completed (31)","3581724                     ",NA,572,NA,NA,"Yes","Female",30,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",5,"he two was go to an restaurant and making to choosing foods and close to each other making good communication from one to others                                                                                                                              ",5,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","No","Yes","Unsure","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",5,"6",5,"No, I am not able to believe this","Yes, I am able to believe this","Yes","6","4: neutral","5","6","5","No","No","0.10                                                                                                                                                                                                                                                          ",0,"100                                                                                                                                                                                                                                                           ",0,"96                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",2,4,4,3,5,4,2,4,5,4,5,4,3,3,5,5,4,5,5,4,3,4,2,3,4,4,2,4,3,5,4,3,3,5,4,4,2,4,5,3,3,2,6,5,4,3,3,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581677,3581713,3581717,3581714,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581697,3581698,3581699,358170","Flipped","Not flipped","HTML",NA,NA,"f6f54bd505f7f4c2fe612432bf6d120f                                                                                                ","English","Not cleaned","short",23,154,36,31,24,33,30,0,"right","right","not wrong","not wrong","not wrong","wrong","not wrong","not wrong",FALSE,FALSE,TRUE,TRUE,FALSE
201,0,"no tester","Completed (31)","3581724                     ",NA,950,NA,NA,"Yes","Female",45,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"its totally wrong  never should have happppppend                                                                                                                                                                                                              ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","they shouldn't do that kind of stuff                                                                                                                                                                                                                          ",1,"1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","7: Extremely Irritated","1: Not at all","7: Extremely","7: Extremely","1: Morally wrong","No","No","10                                                                                                                                                                                                                                                            ",0,"500                                                                                                                                                                                                                                                           ",0,"78                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,6,6,1,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,6,6,1,6,6,6,5,6,6,1,6,1,6,6,6,6,5,6,6,1,6,3,5,1,6,6,6,6,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581677,3581718,3581714,3581713,3581715,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581696,3581697,358169","Not flipped","Not flipped","HTML",NA,NA,"26a1ff8a82dab3813de8927d15f4474b                                                                                                ","English","Not cleaned","short",10,225,59,47,42,43,34,0,"wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE
155,0,"no tester","Completed (31)","3581724                     ",NA,938,NA,NA,"Yes","Female",68,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"They violated a moral norm which nearly everyone believes is unthinkable. Although nobody was hurt thus far, and they seem to have grown closer due to the incest, I think eventually it will affect them and their brother-sister relationship in a negative ",4,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Unsure","It's wrong and I can provide a valid reason.","The family unit is a sacred bond, and an important part of being family is respecting the social norm that prohibits incest, or sexual relations amongst family members. This prohibition exists to protect the psychological well-being of all involved.     ",1,"1: Not at all",4,"No, I am not able to believe this","No, I am not able to believe this","Yes","6","6","5","6","4: neutral","No","No",".10                                                                                                                                                                                                                                                           ",0,"5                                                                                                                                                                                                                                                             ",1,"6                                                                                                                                                                                                                                                             ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",4,6,6,5,6,6,6,6,5,5,5,3,3,2,5,2,2,3,5,5,5,1,3,5,5,5,5,5,5,6,3,5,5,6,6,6,5,5,1,3,3,5,1,5,6,2,5,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581677,3581715,3581717,3581713,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581696,3581697,3581698,358169","Not flipped","Flipped","HTML",NA,NA,"aba203bd81b3ac7f8c115d9ef2e1906f                                                                                                ","English","Not cleaned","short",8,199,52,45,18,44,40,1,"wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE
96,0,"no tester","Completed (31)","3581724                     ",NA,397,NA,NA,"Yes","Male",25,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"Because  They have kept that night as a special secret between them, which has made them feel even closer to each other through the years.                                                                                                                    ",4,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",4,"4: neutral",4,"Yes, I am able to believe this","No, I am not able to believe this","Yes","4: neutral","4: neutral","4: neutral","6","4: neutral","No","No","10                                                                                                                                                                                                                                                            ",0,"500                                                                                                                                                                                                                                                           ",0,"50                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",1,4,2,3,3,4,3,5,3,4,3,4,4,4,4,3,2,3,4,5,2,3,4,4,4,3,3,3,3,4,5,5,4,4,3,4,4,4,4,2,3,4,4,5,4,5,2,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581677,3581713,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581697,3581698,3581699,3581700,3581702,358170","Flipped","Not flipped","HTML",NA,NA,"eed2197f62efa0bff361c59b2df2c651                                                                                                ","English","Not cleaned","short",19,148,33,29,23,33,30,0,"neutral","neutral","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE
114,0,"no tester","Completed (31)","3581724                     ",NA,635,NA,NA,"Yes","Male",28,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Violating an established moral norm                                                                                                                                                                                                                           ",6,"no                                                                                                                                                                                                                                                            ",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",6,"6",6,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","6","6","6","6","6","Yes","Yes","1                                                                                                                                                                                                                                                             ",0,"5                                                                                                                                                                                                                                                             ",1,"5                                                                                                                                                                                                                                                             ",0,"quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted",5,1,5,6,1,6,2,6,6,6,5,2,1,6,6,2,6,6,1,2,5,5,1,6,1,6,5,2,2,6,6,5,5,5,6,1,6,5,5,2,1,5,6,6,5,6,1,"no                                                                                                                                                                                                                                                            ","Hockey","Yes","yes                                                                                                                                                                                                                                                           ","Yes","yes                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581672,3581672,3581673,3581674,3581675,3581676,3581677,3581714,3581718,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581697,358169","Not flipped","Flipped","HTML",NA,NA,"47e8f4e3dffff5b3290f7e2af1c83373                                                                                                ","English","Not cleaned","short",28,168,44,32,20,48,24,1,"right","right","not wrong","wrong","wrong","wrong","not wrong","not wrong",TRUE,FALSE,FALSE,TRUE,FALSE
12,0,"no tester","Completed (31)","3581724                     ",NA,332,NA,NA,"Yes","Male",25,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",6,"Julie and Mark are brother and sister who are both close to retirement. When they were young they travelled together in France. They were both on summer vacation from college.                                                                               ",6,"No","No","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","No","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",6,"6",6,"No, I am not able to believe this","Yes, I am able to believe this","Yes","6","6","4: neutral","4: neutral","5","Yes","Yes","110                                                                                                                                                                                                                                                           ",0,"5                                                                                                                                                                                                                                                             ",1,"48                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",3,3,5,4,2,5,1,4,3,4,5,1,2,4,3,4,3,3,3,2,5,6,2,4,4,3,4,3,2,5,6,5,3,4,5,1,5,5,4,3,3,3,5,6,5,4,4,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3581669,3581670,3581671,3581672,3581673,3581674,3581675,3581677,3581713,3581717,3581714,3581678,3581680,3581681,3581682,3581683,3581684,3581685,3581686,3581687,3581688,3581689,3581690,3581691,3581692,3581693,3581694,3581695,3581697,3581698,3581699,358170","Not flipped","Not flipped","HTML",NA,NA,"3dae77a35a01b981ee7d187178d57b26                                                                                                ","English","Not cleaned","short",22,151,40,27,19,38,27,1,"right","right","not wrong","not wrong","wrong","not wrong","wrong","not wrong",FALSE,TRUE,TRUE,TRUE,TRUE
